MM	DD	Time	WDIR	WSPD	WVHT	DPD	APD	MWD	PRES
09	12	11:40 am	N	15.5	19.4	NaN	NaN	NaN	NaN	29.96
09	12	11:30 am	N	15.5	19.4	NaN	NaN	NaN	NaN	29.96
09	12	11:20 am	NE	19.4	31.1	NaN	NaN	NaN	NaN	29.97
09	12	11:10 am	NE	19.4	35.0	NaN	NaN	NaN	NaN	29.97
09	12	11:00 am	NE	21.4	31.1	NaN	NaN	NaN	NaN	29.98
09	12	10:50 am	NNE	19.4	23.3	12.1	16	8.5	ESE	29.97
09	12	10:40 am	NNE	17.5	23.3	NaN	NaN	NaN	NaN	29.97
09	12	10:30 am	NNE	19.4	25.3	NaN	NaN	NaN	NaN	29.97
09	12	10:20 am	NNE	17.5	23.3	NaN	NaN	NaN	NaN	29.97
09	12	10:10 am	NNE	17.5	23.3	NaN	NaN	NaN	NaN	29.97
09	12	10:00 am	NNE	17.5	23.3	NaN	NaN	NaN	NaN	29.97
09	12	9:50 am	NNE	17.5	23.3	10.2	10	7.8	ENE	29.97
09	12	9:40 am	NNE	17.5	23.3	NaN	NaN	NaN	NaN	29.97
09	12	9:30 am	NE	17.5	23.3	NaN	NaN	NaN	NaN	29.97
09	12	9:20 am	NE	17.5	23.3	NaN	NaN	NaN	NaN	29.97
09	12	9:10 am	NE	17.5	21.4	NaN	NaN	NaN	NaN	29.97
09	12	9:00 am	NNE	17.5	21.4	NaN	NaN	NaN	NaN	29.97
09	12	8:50 am	NNE	17.5	21.4	9.2	11	7.3	E	29.97
09	12	8:40 am	NNE	17.5	23.3	NaN	NaN	NaN	NaN	29.97
09	12	8:30 am	NE	17.5	21.4	NaN	NaN	NaN	NaN	29.97
09	12	8:20 am	NE	17.5	21.4	NaN	NaN	NaN	NaN	29.97
09	12	8:10 am	NE	17.5	21.4	NaN	NaN	NaN	NaN	29.97
09	12	8:00 am	NE	17.5	23.3	NaN	NaN	NaN	NaN	29.96
09	12	7:50 am	NE	19.4	23.3	9.2	12	7.7	E	29.97
09	12	7:40 am	NE	19.4	23.3	NaN	NaN	NaN	NaN	29.97
09	12	7:30 am	NE	17.5	21.4	NaN	NaN	NaN	NaN	29.97
09	12	7:20 am	NE	17.5	21.4	NaN	NaN	NaN	NaN	29.97
09	12	7:10 am	NE	17.5	21.4	NaN	NaN	NaN	NaN	29.97
09	12	7:00 am	NE	17.5	21.4	NaN	NaN	NaN	NaN	29.97
09	12	6:50 am	NE	15.5	21.4	8.9	11	7.7	E	29.96
09	12	6:40 am	NE	15.5	19.4	8.9	NaN	7.7	E	29.96
09	12	6:30 am	NE	15.5	21.4	NaN	NaN	NaN	NaN	29.97
09	12	6:20 am	NE	17.5	21.4	NaN	NaN	NaN	NaN	29.97
09	12	6:10 am	NE	17.5	21.4	NaN	NaN	NaN	NaN	29.96
09	12	6:00 am	NE	15.5	19.4	NaN	NaN	NaN	NaN	29.96
09	12	5:50 am	NE	15.5	19.4	8.5	11	7.5	E	29.96
09	12	5:40 am	NE	15.5	19.4	8.5	NaN	7.5	E	29.96
09	12	5:30 am	NE	15.5	19.4	NaN	NaN	NaN	NaN	29.96
09	12	5:20 am	NE	15.5	19.4	NaN	NaN	NaN	NaN	29.96
09	12	5:10 am	NE	17.5	19.4	NaN	NaN	NaN	NaN	29.96
09	12	5:00 am	NE	15.5	19.4	NaN	NaN	NaN	NaN	29.96
09	12	4:50 am	NE	15.5	19.4	7.5	11	7.6	ENE	29.96
09	12	4:40 am	NE	15.5	19.4	NaN	NaN	NaN	NaN	29.97
09	12	4:30 am	NE	15.5	17.5	NaN	NaN	NaN	NaN	29.97
09	12	4:20 am	NE	15.5	19.4	NaN	NaN	NaN	NaN	29.97
09	12	4:10 am	NE	15.5	19.4	NaN	NaN	NaN	NaN	29.97
09	12	4:00 am	NE	15.5	19.4	NaN	NaN	NaN	NaN	29.98
09	12	3:50 am	NE	13.6	17.5	8.5	11	8.3	E	29.97
09	12	3:40 am	NE	13.6	17.5	NaN	NaN	NaN	NaN	29.97
09	12	3:30 am	NE	13.6	17.5	NaN	NaN	NaN	NaN	29.97
09	12	3:20 am	NE	13.6	17.5	NaN	NaN	NaN	NaN	29.98
09	12	3:10 am	NE	13.6	17.5	NaN	NaN	NaN	NaN	29.98
09	12	3:00 am	NE	11.7	15.5	NaN	NaN	NaN	NaN	29.98
09	12	2:50 am	NE	13.6	15.5	7.9	11	8.1	ENE	29.98
09	12	2:40 am	NE	11.7	15.5	NaN	NaN	NaN	NaN	29.98
09	12	2:30 am	NE	11.7	15.5	NaN	NaN	NaN	NaN	29.99
09	12	2:20 am	NE	11.7	15.5	NaN	NaN	NaN	NaN	29.99
