year       index 
1900.0     8.255
1901.0    60.625
1902.0    25.685
1903.0     8.965
1904.0     0.710
1905.0     1.995
1906.0     4.455
1907.0     5.785
1908.0    10.460
1909.0    21.165
1910.0    29.015
1911.0    27.935
1912.0     2.205
1913.0    40.945
1914.0    33.125
1915.0    27.305
1916.0    49.520
1917.0     7.385
1918.0    16.505
1919.0    18.225
1920.0    12.290
1921.0    29.285
1922.0    26.675
1923.0    11.550
1924.0     9.830
1925.0    19.380
1926.0     4.750
1927.0    19.315
1928.0     7.120
1929.0     8.955
1930.0    71.740
1931.0    31.950
1932.0     7.060
1933.0    37.225
1934.0    50.090
1935.0     9.905
1936.0    72.270
1937.0    17.940
1938.0    10.135
1939.0    10.245
1940.0    28.860
1941.0    27.455
1942.0     2.160
1943.0     9.900
1944.0    20.365
1945.0     8.465
1946.0    19.530
1947.0    29.945
1948.0     9.215
1949.0    13.110
1950.0     7.550
1951.0    11.175
1952.0    11.515
1953.0    27.635
1954.0    24.715
1955.0    30.155
1956.0     5.315
1957.0     5.805
1958.0    22.565
1959.0    14.515
1960.0     2.135
1961.0     4.970
1962.0     9.620
1963.0     4.235
1964.0    15.770
1965.0     3.265
1966.0    14.925
1967.0    11.210
1968.0     5.275
1969.0    13.710
1970.0    18.910
1971.0    21.075
1972.0     4.970
1973.0    10.270
1974.0    27.940
1975.0    23.835
1976.0    38.635
1977.0    14.030
1978.0     4.560
1979.0    12.630
1980.0    31.290
1981.0     9.395
1982.0     7.035
1983.0    45.930
1984.0    24.735
1985.0     9.225
1986.0     2.060
1987.0    15.825
1988.0    44.880
1989.0     9.265
1990.0     4.580
1991.0    28.095
1992.0    21.715
1993.0    34.235
1994.0     2.340
1995.0     6.045
1996.0     8.430
1997.0     9.785
1998.0     6.880
1999.0    16.850
2000.0     9.725
2001.0     8.885
2002.0    20.750
2003.0    28.395
2004.0     2.515
2005.0    10.515
2006.0    15.675
2007.0    34.620
2008.0     8.125
2009.0     3.885
2010.0    18.340
2011.0    27.415
2012.0    59.270
2013.0    25.715
2014.0     7.955
2015.0     4.335
2016.0     8.815
2017.0    13.095
2018.0     2.235
