Date,Value,Anomaly
1895,52.1,-1.7
1896,53.7,-0.1
1897,53.2,-0.6
1898,54.4,0.6
1899,53.0,-0.8
1900,54.7,0.9
1901,52.3,-1.5
1902,53.0,-0.8
1903,52.7,-1.1
1904,50.6,-3.2
1905,52.5,-1.3
1906,54.0,0.2
1907,51.6,-2.2
1908,53.4,-0.4
1909,53.2,-0.6
1910,53.0,-0.8
1911,54.4,0.6
1912,52.5,-1.3
1913,55.1,1.3
1914,52.6,-1.2
1915,53.2,-0.6
1916,52.7,-1.1
1917,50.9,-2.9
1918,53.2,-0.6
1919,54.1,0.3
1920,52.5,-1.3
1921,56.0,2.2
1922,54.4,0.6
1923,53.8,0.0
1924,52.0,-1.8
1925,54.0,0.2
1926,52.2,-1.6
1927,53.7,-0.1
1928,53.3,-0.5
1929,53.8,0.0
1930,54.5,0.7
1931,55.5,1.7
1932,54.7,0.9
1933,54.6,0.8
1934,53.3,-0.5
1935,53.0,-0.8
1936,53.4,-0.4
1937,53.8,0.0
1938,54.8,1.0
1939,54.8,1.0
1940,51.6,-2.2
1941,54.4,0.6
1942,54.2,0.4
1943,53.9,0.1
1944,53.9,0.1
1945,54.0,0.2
1946,54.9,1.1
1947,53.4,-0.4
1948,53.6,-0.2
1949,55.9,2.1
1950,53.4,-0.4
1951,54.1,0.3
1952,54.6,0.8
1953,55.7,1.9
1954,54.6,0.8
1955,54.1,0.3
1956,53.8,0.0
1957,54.6,0.8
1958,52.0,-1.8
1959,55.2,1.4
1960,52.9,-0.9
1961,53.5,-0.3
1962,52.5,-1.3
1963,52.4,-1.4
1964,53.8,0.0
1965,53.5,-0.3
1966,52.9,-0.9
1967,52.4,-1.4
1968,53.3,-0.5
1969,53.0,-0.8
1970,53.7,-0.1
1971,54.0,0.2
1972,53.1,-0.7
1973,55.1,1.3
1974,54.2,0.4
1975,54.6,0.8
1976,53.1,-0.7
1977,53.9,0.1
1978,52.5,-1.3
1979,53.1,-0.7
1980,53.5,-0.3
1981,53.1,-0.7
1982,53.6,-0.2
1983,54.2,0.4
1984,54.2,0.4
1985,54.8,1.0
1986,54.6,0.8
1987,54.7,0.9
1988,53.7,-0.1
1989,53.5,-0.3
1990,56.6,2.8
1991,56.5,2.7
1992,53.5,-0.3
1993,54.2,0.4
1994,54.4,0.6
1995,54.4,0.6
1996,53.2,-0.6
1997,54.0,0.2
1998,57.0,3.2
1999,55.7,1.9
2000,54.1,0.3
2001,55.3,1.5
2002,56.3,2.5
2003,53.9,0.1
2004,55.2,1.4
2005,55.2,1.4
2006,56.5,2.7
2007,55.7,1.9
2008,55.3,1.5
2009,54.6,0.8
2010,55.8,2.0
2011,56.5,2.7
2012,57.5,3.7
2013,54.7,0.9
2014,53.6,-0.2
2015,55.4,1.6
2016,56.5,2.7
2017,56.6,2.8
